name,alex SC,jachym,kof,
SinOsc 342 320 558 
LFSaw 47 91 285 
LFPulse 25 22 52 
Pulse 104 118 117 
Impulse 303 2 309 
Noise 177 39 190 
WhiteNoise 60 24 67 
Ndef 423 7 1045 
SynthDef 100 259 16 
Pdef 153 583 12 
Tdef 9 71 23 
Pbind 148 290 58 
Ppar 14 38 14 
Pdef 153 583 12 
Pseq 376 1036 75 
Dseq 110 0 61 
Select 63 11 111 
LPF 35 139 104 
HPF 38 57 42 
BPF 39 2 29 
Resonz 4 0 27 
Vibrato 3 0 76 
FreeVerb 115 87 97 
Allpass 8 31 53 
Comb 95 58 102 
Compander 1 0 78 
midicps 10 0 106 
var 154 450 25 
pi 118 62 261 
kr 1066 370 605 
range 234 13 519 
rand 91 107 104 
